Variable 1,Variable 2,Correlation
L-F-FeTi_x,L-F-TiTa_x,0.9012952095505485
L-F-ThC_x,L-H-CTr_x,0.9008425982677986
L-F-ThC_x,L-M-CTr_x,0.8998236673119142
L-H-ThC_x,L-M-ThC_x,0.8990710987275536
L-M-ThC_x,L-M-ThC_z,-0.8970837049558452
R-H-ThC_x,R-M-CTr_x,0.8970458540701737
L-M-ThC_z,R-F-ThC_x,-0.896960457365844
L-M-CTr_x,R-M-CTr_x,0.893788007209599
L-F-FeTi_z,L-F-TaG_z,0.8934662119986497
L-H-FeTi_z,L-H-TiTa_z,0.8916955269370982
R-H-FeTi_z,R-H-TiTa_z,0.8905025173766493
L-M-ThC_x,R-F-ThC_x,0.8895807318777036
L-H-ThC_x,L-M-ThC_z,-0.8881165801733342
L-M-CTr_x,R-WH_z,0.8880039015905191
R-F-FeTi_z,R-F-TaG_z,0.885158509202154
L-H-CTr_x,R-WH_z,0.8834698451215226
L-M-ThC_x,R-WH_z,0.8829072156824322
L-H-CTr_x,R-F-ThC_x,0.8816632961129804
L-H-CTr_x,L-H-ThC_x,0.8760213992978485
L-M-CTr_x,R-H-ThC_x,0.8751797403317375
L-M-CTr_x,L-M-ThC_x,0.8742871311677646
L-F-FeTi_y,L-F-TiTa_y,0.8732222635307002
L-F-ThC_y,L-M-ThC_y,0.8729032127162882
L-M-ThC_z,R-M-CTr_x,-0.8718018556370482
L-H-CTr_x,L-M-ThC_x,0.8676953522888149
L-M-ThC_x,R-M-CTr_x,0.8638628786318487
L-F-CTr_y,L-F-CTr_z,-0.8633348820182509
L-H-CTr_x,R-M-CTr_x,0.8627002074394934
L-M-CTr_x,L-M-ThC_z,-0.8619962095154902
R-M-TaG_z,R-M-TiTa_z,0.8586523906277673
L-M-FeTi_z,L-M-TaG_z,0.8581009263325756
L-H-CTr_x,L-M-ThC_z,-0.8574333263219135
L-H-ThC_y,L-M-ThC_y,0.856884032681409
L-M-CTr_x,L-WH_z,-0.856347992439606
L-F-FeTi_x,L-F-TaG_x,0.8529251029132743
L-H-CTr_x,R-M-ThC_x,0.8509232568673363
R-H-TaG_z,R-H-TiTa_z,0.8474605768754155
R-M-FeTi_y,R-M-TaG_y,0.8459048639310177
L-F-CTr_y,L-F-FeTi_y,0.845002400627133
L-H-FeTi_x,L-H-FeTi_y,-0.8416953556646196
L-H-CTr_x,L-M-CTr_x,0.8408247654401965
L-H-ThC_x,L-WH_z,-0.8381588214710526
L-H-CTr_x,R-H-ThC_x,0.8330736713897653
R-M-CTr_y,R-M-ThC_y,0.8330079745095492
L-M-ThC_x,R-H-ThC_x,0.8327563705613408
L-M-ThC_x,R-M-ThC_x,0.8315364465476822
R-F-CTr_x,R-F-TiTa_x,0.8262274542445862
L-F-ThC_y,L-H-ThC_y,0.825319587755209
Notum_x,R-WH_z,-0.8241415759976813
R-M-FeTi_z,R-M-TaG_z,0.8230121353427254
L-F-FeTi_y,L-F-TaG_y,0.8187570307030402
L-M-CTr_y,L-M-ThC_y,0.8131934625649097
L-WH_z,R-F-ThC_x,-0.8129664567711794
L-M-ThC_x,Notum_y,-0.812437242689113
L-F-CTr_x,L-F-TiTa_x,0.8112858954108005
L-WH_z,R-M-ThC_x,-0.8112843753588742
R-H-FeTi_y,R-H-TiTa_y,0.8108343425991008
R-F-CTr_x,R-F-FeTi_x,0.8100191083889972
R-F-ThC_y,R-M-ThC_y,0.809520460817056
R-F-FeTi_y,R-F-TiTa_y,0.8094143033876777
R-F-CTr_y,R-F-FeTi_y,0.8084394869615676
L-F-CTr_y,L-F-TiTa_y,0.8072724688216922
R-F-CTr_x,R-F-TaG_x,0.8046960311028521
R-F-CTr_y,R-F-CTr_z,-0.7974687805153137
L-M-ThC_x,R-H-CTr_x,0.7934445429836126
R-F-ThC_y,R-H-ThC_y,0.7922194427506472
L-H-FeTi_y,L-H-TiTa_y,0.7906906694747545
R-F-CTr_y,R-F-TiTa_y,0.7896999762492024
L-F-CTr_z,L-F-TiTa_y,-0.7895315424810142
L-F-ThC_x,L-WH_z,-0.7889479770605672
L-WH_z,R-M-CTr_x,-0.7846581928598186
L-F-ThC_x,Notum_x,-0.783260839503325
L-WH_z,R-WH_z,-0.7813563131742084
L-H-ThC_z,R-M-ThC_z,-0.7808613912029186
Notum_z,R-F-ThC_y,0.7799015246054576
R-F-CTr_z,R-F-TiTa_y,-0.7780019973024274
R-H-ThC_y,R-M-CTr_y,0.7766764013991481
L-F-CTr_z,L-F-FeTi_y,-0.7717591297694086
L-F-CTr_x,L-F-TaG_x,0.7686514312773486
Notum_x,R-F-ThC_x,-0.7665087845753454
L-F-ThC_y,L-M-CTr_y,0.7644167674832961
Notum_x,R-M-CTr_x,-0.7643261521560277
L-F-ThC_x,Notum_y,-0.7638453524068355
L-M-ThC_z,Notum_x,0.7637969737293578
L-H-FeTi_x,L-H-TiTa_x,0.7586168359006498
L-M-ThC_z,R-H-CTr_x,-0.7574958850644193
Notum_y,R-F-ThC_x,-0.7568138328188545
L-H-ThC_x,Notum_x,-0.7555551111107167
L-H-ThC_x,Notum_y,-0.7543319409160936
L-F-CTr_z,L-F-TaG_y,-0.7541236318810534
R-H-CTr_y,R-H-CTr_z,-0.7535865507326757
R-H-CTr_x,R-H-ThC_x,0.7534869647794472
Notum_y,R-M-CTr_x,-0.7508826840948889
Notum_y,R-M-ThC_x,-0.7497126160525258
Notum_x,R-M-ThC_x,-0.7487569371014605
L-F-ThC_z,R-M-ThC_z,-0.747609474690657
L-M-ThC_z,Notum_y,0.747372721970942
Notum_x,R-H-ThC_x,-0.7465237450931855
L-F-ThC_x,R-H-CTr_x,0.7450567953247359
L-H-FeTi_y,L-H-TiTa_x,-0.7418191756275386
L-H-FeTi_z,L-H-TaG_z,0.7394638701434408
R-F-FeTi_y,R-F-TaG_y,0.7384059146840566
R-F-CTr_z,R-F-TaG_y,-0.7372799387468508
R-M-ThC_y,R-WH_z,0.7343551605739872
L-F-CTr_y,L-F-TaG_y,0.7342958868958549
R-H-CTr_x,R-WH_z,0.7341967417583439
L-H-CTr_x,L-WH_z,-0.7308937118210074
L-F-ThC_x,R-F-CTr_x,0.7301074913703963
L-WH_z,R-H-ThC_x,-0.7283109941024849
R-F-ThC_x,R-H-CTr_x,0.7264238806804896
L-WH_z,Notum_x,0.7248692946904184
R-H-FeTi_y,R-H-TaG_y,0.7241579792898342
R-H-FeTi_x,R-H-TiTa_x,0.7227773169613272
L-M-ThC_z,R-M-ThC_y,-0.7225285480780398
L-M-ThC_z,L-WH_z,0.722356853575015
Notum_y,Notum_z,-0.7207062973509809
R-F-CTr_x,R-F-ThC_x,0.7205715614699265
R-F-ThC_y,R-M-CTr_y,0.7204021615772013
L-F-CTr_x,L-F-FeTi_x,0.7195742395938987
Notum_y,R-F-ThC_y,-0.718061496546742
L-F-ThC_y,R-F-ThC_y,0.7170227509933964
L-H-ThC_y,R-H-ThC_y,0.7169833014128879
R-H-CTr_x,R-M-ThC_x,0.7153713227138314
Notum_y,R-WH_z,-0.7150797126364006
L-M-ThC_y,R-WH_x,-0.7128115786062421
L-H-ThC_x,R-H-CTr_x,0.7127657433357241
L-M-ThC_x,R-F-CTr_x,0.7126476268885237
L-H-ThC_x,R-F-CTr_x,0.7123474175305816
R-F-ThC_y,R-H-CTr_x,0.7113422634561071
Notum_y,R-H-CTr_x,-0.7112751037232756
L-H-CTr_x,R-H-CTr_x,0.710924390913391
R-H-CTr_x,R-M-CTr_x,0.7093704292529266
L-M-CTr_x,Notum_x,-0.7082391713727677
L-H-CTr_x,Notum_x,-0.708220280873069
L-H-ThC_y,L-M-CTr_y,0.7075727836447716
L-H-FeTi_y,L-H-TaG_x,-0.7062709230383589
R-F-CTr_y,R-F-TaG_y,0.7055586409649721
L-H-CTr_x,Notum_y,-0.7024120659108238
L-M-ThC_x,R-F-ThC_y,0.7020005540441651
Notum_x,R-M-ThC_y,-0.7006147573823401
R-H-CTr_y,R-H-TaG_x,0.7000381278981248
L-F-ThC_x,R-M-ThC_y,0.6998734345057329
L-H-CTr_y,L-H-CTr_z,-0.6993025560808732
L-F-CTr_x,L-F-ThC_x,0.6981198948632129
Notum_y,R-H-ThC_x,-0.6948738479551234
L-M-ThC_z,R-F-ThC_y,-0.694086182439423
Notum_z,R-H-ThC_x,0.6919157149861115
R-F-CTr_x,R-M-CTr_x,0.6915779986988212
Notum_z,R-H-CTr_x,0.688956733068696
R-M-FeTi_x,R-M-TiTa_x,0.6878529438703576
L-M-ThC_y,L-WH_x,0.6863325241480637
R-H-FeTi_x,R-H-TaG_x,0.6862119061294149
L-F-CTr_x,L-M-ThC_z,-0.6844284946166754
L-M-CTr_x,R-F-CTr_x,0.6836247613754416
R-H-ThC_z,R-M-ThC_z,0.6835748977736574
L-H-FeTi_y,L-H-TaG_y,0.6831829345595821
R-F-CTr_x,R-M-ThC_x,0.6830745956512724
L-H-FeTi_x,L-H-TaG_x,0.6828314307994772
L-M-CTr_y,L-M-CTr_z,-0.6826362447659928
R-F-CTr_x,R-WH_z,0.6811055166136484
L-M-CTr_x,R-H-CTr_x,0.6809888644744477
L-M-ThC_z,R-F-CTr_x,-0.6800535236685823
R-H-CTr_y,R-H-TiTa_x,0.6783603805197018
L-F-CTr_x,L-M-ThC_x,0.6773220280409571
R-F-CTr_z,R-F-FeTi_y,-0.67728479253957
L-M-ThC_y,R-F-ThC_y,0.67673084825543
L-F-CTr_x,R-F-ThC_x,0.676516434406611
L-M-ThC_x,L-WH_z,-0.6762387890960009
L-H-ThC_y,R-WH_x,-0.6750493477268737
R-H-FeTi_z,R-H-TaG_z,0.6716706929726283
L-M-ThC_z,Notum_z,-0.6712672220683318
L-M-ThC_z,R-H-ThC_y,-0.6706998607314797
R-F-CTr_x,R-H-ThC_x,0.669965640470311
L-M-CTr_x,Notum_y,-0.6659264189484512
L-H-ThC_y,R-F-ThC_y,0.6632551822301344
L-M-CTr_y,R-F-ThC_y,0.6621420526556578
L-F-CTr_x,R-WH_z,0.6619145506630697
L-F-ThC_x,R-F-ThC_y,0.6609781340619938
L-H-ThC_y,L-WH_x,0.6606040013940953
L-F-CTr_x,L-H-ThC_x,0.6596552456205382
L-F-CTr_x,R-H-ThC_x,0.6592557803549687
R-H-ThC_y,R-WH_z,0.6584965438892139
L-H-FeTi_x,L-H-TiTa_y,-0.6531235828151496
L-M-CTr_y,R-M-CTr_y,0.6507538543390299
L-F-CTr_x,L-M-CTr_x,0.6497802474958564
L-M-ThC_x,Notum_x,-0.6485689816180233
R-F-ThC_x,R-F-ThC_z,0.6475125579667701
Notum_z,R-M-ThC_y,0.6473569950763749
L-F-ThC_y,R-M-CTr_y,0.6469098794778404
L-H-FeTi_y,L-H-FeTi_z,0.6457812688282465
L-H-ThC_y,R-M-ThC_y,0.6450990394760892
L-F-ThC_x,R-F-ThC_z,0.6438814257808325
L-F-ThC_y,R-H-ThC_y,0.6437894176286557
L-F-CTr_y,L-F-FeTi_z,-0.6437876742498314
L-F-ThC_x,R-H-ThC_y,0.6436395012566644
R-F-ThC_y,R-WH_z,0.6430002188785374
R-M-CTr_x,R-M-ThC_y,0.6403629198301722
Notum_y,R-F-CTr_x,-0.6387610028525704
R-H-ThC_x,R-M-ThC_y,0.6386342435147849
L-F-CTr_x,R-M-CTr_x,0.6380739583285273
L-M-ThC_x,R-M-ThC_y,0.6368506649692144
R-H-CTr_z,R-M-CTr_z,0.6349711864536449
L-H-CTr_x,R-F-CTr_x,0.6345297490936642
L-F-CTr_x,R-M-ThC_x,0.6341190132840193
L-H-CTr_x,R-M-ThC_y,0.6323576537560723
L-M-TaG_z,R-F-ThC_x,-0.6322177776036828
R-F-ThC_y,R-H-ThC_x,0.6311117804224491
R-F-ThC_z,R-WH_z,0.6309612295282075
L-H-ThC_y,R-M-CTr_y,0.6303928852374945
Notum_x,R-H-ThC_y,-0.6276152232807496
L-H-ThC_x,R-F-ThC_z,0.6226906573147881
L-M-ThC_y,R-M-CTr_y,0.6226845602600778
Notum_z,R-M-ThC_x,0.6220362737724552
R-M-FeTi_x,R-M-TiTa_z,-0.6196744975116599
R-F-ThC_x,R-M-ThC_y,0.6144603935918745
Notum_x,Notum_y,0.6087467710425255
L-M-CTr_x,R-F-ThC_z,0.6084341960153382
Notum_y,R-M-ThC_y,-0.6064079928295194
L-F-FeTi_x,L-F-FeTi_y,0.6063162689066819
R-H-CTr_y,R-M-CTr_y,0.6047924774482797
L-F-CTr_y,L-F-TiTa_z,-0.6028633851623253
R-F-ThC_x,R-F-ThC_y,0.6025886147417693
L-M-CTr_y,R-H-ThC_y,0.6022493765544145
L-M-ThC_x,R-F-ThC_z,0.6006731181685014
Notum_x,R-F-ThC_z,-0.6000705656998632
L-F-CTr_x,L-H-CTr_x,0.600044157728027
L-M-TaG_z,R-M-CTr_x,-0.6000178205362553
L-H-CTr_x,R-F-ThC_z,0.5995785721692752
L-H-CTr_x,R-F-ThC_y,0.5994032124497658
R-F-CTr_x,R-H-CTr_x,0.5980814118003039
L-M-ThC_x,R-H-ThC_y,0.59555287817203
Notum_z,R-WH_z,0.5940340209359228
L-F-CTr_x,R-F-CTr_x,0.592226263320274
L-M-TaG_z,R-WH_z,-0.5918473285142277
R-F-ThC_z,R-M-CTr_x,0.5918130608985692
R-H-CTr_x,R-M-ThC_y,0.5915708372482404
L-M-ThC_y,R-H-ThC_y,0.5909332390993367
L-F-CTr_x,R-H-CTr_x,0.5907688182852245
L-H-ThC_x,L-M-TaG_z,-0.5906781018918216
Notum_z,R-M-CTr_y,0.5891929558782141
L-F-CTr_x,R-F-ThC_y,0.5877069529337001
L-H-CTr_x,R-H-ThC_y,0.5871529067808869
Notum_z,R-H-ThC_y,0.5867382514493164
R-F-ThC_z,R-M-ThC_x,0.5866681604221224
R-H-CTr_x,R-H-ThC_y,0.5864942470183994
L-M-ThC_z,R-F-ThC_z,-0.5848532667173165
R-M-ThC_x,R-M-ThC_y,0.5837078173304232
L-H-CTr_z,L-M-CTr_z,0.5818625746795569
L-M-TaG_z,R-H-ThC_x,-0.5815326698527397
L-F-CTr_x,Notum_y,-0.5807171001192944
Notum_x,R-F-CTr_x,-0.5762065812871875
L-F-ThC_y,R-M-ThC_y,0.575940720418834
R-F-ThC_y,R-M-CTr_x,0.5753033047179366
L-M-TaG_z,L-M-ThC_z,0.5748331706397937
R-M-FeTi_x,R-M-FeTi_z,-0.5742691445717153
R-F-ThC_z,R-H-ThC_x,0.5738722668999592
L-F-ThC_z,L-H-ThC_z,0.5735066745958459
L-F-ThC_x,L-M-TaG_z,-0.5699159790305142
L-M-TaG_z,R-H-ThC_y,-0.5679785909719641
R-M-FeTi_x,R-M-TaG_x,0.5674040497094872
L-F-TaG_z,L-M-ThC_y,-0.5668449798822344
L-F-TaG_z,R-M-CTr_y,-0.5632296875716091
L-M-CTr_y,R-M-ThC_y,0.5627750757115622
L-WH_z,R-F-ThC_z,-0.5623844284018855
L-H-FeTi_x,L-H-TaG_y,-0.5615858481928041
L-H-ThC_x,R-M-ThC_y,0.5613956853932147
R-H-ThC_y,R-M-CTr_x,0.5607134845430182
L-M-CTr_x,L-M-TaG_z,-0.560545351136484
L-M-TaG_z,R-M-ThC_y,-0.5600231552005346
R-H-ThC_x,R-H-ThC_y,0.5598200837311048
L-M-TaG_z,R-M-ThC_x,-0.5596063645903652
L-M-ThC_x,Notum_z,0.5593397618963867
L-WH_z,R-F-CTr_x,-0.559136314306456
Notum_z,R-F-ThC_x,0.5582635080032704
R-F-FeTi_y,R-F-FeTi_z,-0.5579434160205836
L-F-CTr_x,Notum_x,-0.5556324341632795
L-M-CTr_z,Notum_z,-0.5549334397097675
L-H-CTr_x,L-M-TaG_z,-0.5545392724142227
L-F-TaG_z,R-F-ThC_y,-0.5534301339037723
L-F-ThC_y,L-WH_x,0.5529608462287938
Notum_z,R-M-CTr_x,0.5529381676988279
L-F-ThC_y,R-WH_x,-0.552730209016205
R-F-ThC_x,R-H-ThC_y,0.5515199101071393
L-M-ThC_y,R-M-ThC_y,0.5494965940828582
R-F-ThC_y,R-M-ThC_x,0.5435870750672699
L-F-TaG_z,R-M-ThC_y,-0.5423793721748039
L-F-ThC_x,Notum_z,0.5419683692157086
R-F-FeTi_y,R-F-TiTa_z,-0.5418701777258713
L-M-TaG_z,Notum_x,0.5418656752647215
L-H-ThC_x,R-F-ThC_y,0.5408418107846861
L-H-CTr_z,L-H-TaG_z,0.5392881359989354
L-M-TaG_z,R-M-CTr_y,-0.5391260566414878
L-F-FeTi_y,L-F-TaG_x,0.537871337556101
L-F-ThC_x,R-M-TaG_z,0.5370270570307693
L-F-FeTi_x,L-F-TaG_y,0.5361040372359895
L-F-ThC_x,R-F-FeTi_x,0.5357244739443566
L-M-ThC_x,R-M-TaG_x,0.5356052687791854
L-M-TaG_z,L-M-ThC_x,-0.5353440523327531
L-M-CTr_y,R-WH_x,-0.5327258183609003
L-M-CTr_y,Notum_z,0.5324182645061415
R-F-FeTi_x,R-F-ThC_x,0.5305203696412334
R-H-CTr_y,R-H-FeTi_x,0.5291793405710773
L-F-ThC_y,L-M-CTr_z,-0.5286109066983103
L-F-ThC_y,Notum_z,0.5269282539346314
L-M-CTr_z,R-F-ThC_y,-0.5265315781932692
L-F-FeTi_z,R-M-CTr_y,-0.5263245561910986
L-F-CTr_x,R-H-ThC_y,0.5262804948310078
L-F-TaG_z,Notum_z,-0.5254240332099906
L-H-ThC_x,Notum_z,0.5253809070731861
L-M-CTr_y,L-WH_x,0.525246740454032
L-M-TaG_z,R-F-ThC_y,-0.5247384257493419
L-F-ThC_z,R-H-ThC_z,-0.5246866232345746
R-M-CTr_x,R-M-CTr_z,-0.5243322394833614
L-F-CTr_x,R-M-ThC_y,0.5239184710703857
L-M-TiTa_z,R-F-ThC_x,-0.5233214867934767
R-M-FeTi_x,R-M-ThC_z,0.5224258879409832
R-H-CTr_x,R-H-ThC_z,0.5220432632443638
R-F-CTr_y,R-F-FeTi_z,-0.521996335677023
R-H-CTr_y,R-M-TiTa_y,0.5216932624161452
Notum_y,R-H-ThC_y,-0.5210197626820986
Notum_x,Notum_z,-0.520198410807821
Notum_x,R-H-CTr_x,-0.5191686563552719
L-H-CTr_x,L-H-TiTa_x,0.5189454463902061
R-F-CTr_y,R-F-TiTa_z,-0.5188185415389328
L-M-TiTa_z,R-H-ThC_x,-0.5182186848977693
L-F-FeTi_z,R-M-ThC_y,-0.51601017884088
L-M-FeTi_z,R-H-ThC_y,-0.5158046359770726
L-H-ThC_x,R-F-FeTi_x,0.5145165998326185
L-M-TiTa_z,R-H-ThC_y,-0.5139082177640746
L-H-FeTi_z,L-H-TiTa_y,0.5136711741619218
R-M-TaG_z,R-M-ThC_y,0.5125598105263276
Notum_y,R-M-TaG_z,-0.5118011595923728
L-F-CTr_y,L-F-TaG_z,-0.5111715725774342
R-F-FeTi_x,R-M-CTr_x,0.5107786377564831
R-H-ThC_y,R-M-TaG_z,0.5105392295938648
R-M-CTr_y,R-M-CTr_z,-0.5103685392231553
L-F-ThC_x,R-M-TaG_x,0.5102161205496634
L-F-CTr_x,Notum_z,0.5100974264089942
L-H-CTr_x,Notum_z,0.5095983490902567
L-H-CTr_z,L-H-TiTa_z,0.5095609544174278
R-F-CTr_x,R-F-ThC_y,0.5080867995346848
L-M-CTr_z,L-M-TaG_z,0.5080431958478551
L-M-TiTa_z,R-WH_z,-0.5075246161842456
L-F-FeTi_x,L-F-TiTa_y,0.5072144161012037
L-F-TaG_z,L-F-ThC_y,-0.5067762927738212
R-F-FeTi_x,R-M-ThC_x,0.5067239896866916
L-F-TaG_z,R-H-ThC_y,-0.5062022576464204
L-M-CTr_z,R-M-CTr_y,-0.5058693640134653
R-H-ThC_y,R-M-ThC_x,0.505694654483841
R-H-FeTi_x,R-H-FeTi_y,0.5056157735507149
L-M-ThC_z,R-M-CTr_y,-0.5055857767297813
L-H-CTr_y,L-M-CTr_y,0.5050461691040244
L-M-ThC_z,R-M-TaG_z,-0.5045126509065837
R-H-TaG_x,R-M-FeTi_y,0.5037258933425586
R-F-FeTi_x,R-WH_z,0.5018110225151939
L-M-TiTa_z,R-M-ThC_y,-0.5017377088626076
L-M-TiTa_z,R-M-CTr_x,-0.5016891973345338
L-F-FeTi_z,R-F-ThC_y,-0.5008733270613623
R-F-FeTi_x,R-H-ThC_x,0.4998125572931764
L-M-TaG_z,Notum_z,-0.4997572488372794
L-H-ThC_x,R-H-ThC_y,0.4995658183970736
R-F-ThC_x,R-M-TaG_x,0.4994157609268658
L-F-CTr_z,L-F-FeTi_z,0.49900512146541115
L-M-ThC_y,Notum_z,0.49785416058104237
L-M-CTr_z,R-H-ThC_y,-0.4975421932684095
L-M-TaG_z,R-H-CTr_x,-0.4969614185263165
L-F-CTr_z,L-F-TiTa_z,0.49633990742007483
L-F-ThC_x,L-F-TiTa_x,0.4957961727984587
L-F-FeTi_y,L-F-TiTa_x,0.4950702016093783
R-M-CTr_y,R-WH_z,0.4949381137954457
L-M-ThC_z,R-F-FeTi_x,-0.49393717380836055
L-M-FeTi_z,R-M-ThC_y,-0.49340375388038016
R-H-CTr_y,R-M-FeTi_y,0.4930900395852312
L-F-TiTa_z,R-M-CTr_y,-0.49295286332551497
L-F-ThC_x,R-F-TiTa_x,0.4928164629439602
R-H-TaG_x,R-H-TaG_y,0.4926208953774337
R-M-CTr_z,R-M-ThC_x,-0.4924520862364824
Notum_x,R-F-ThC_y,-0.4924387903805441
L-F-FeTi_y,L-F-FeTi_z,-0.4923816835208848
L-M-CTr_z,Notum_y,0.4903562066000504
L-M-ThC_x,R-M-TaG_z,0.4901187342388563
R-H-CTr_z,R-H-TaG_x,-0.4898953761482715
L-H-ThC_x,R-M-TaG_x,0.4898817439487312
L-H-CTr_x,R-M-TaG_z,0.48947421409415776
L-H-ThC_x,L-M-TiTa_z,-0.48913905409095887
R-H-ThC_z,R-WH_y,0.4888665138807879
L-H-CTr_x,L-H-TaG_x,0.48882989711157265
L-M-CTr_x,R-M-TaG_x,0.4887036631442611
L-M-TiTa_z,R-M-CTr_y,-0.4880251152012061
L-F-TiTa_x,R-F-ThC_x,0.4879704769648325
L-M-ThC_z,L-M-TiTa_z,0.487714137481177
L-H-FeTi_y,L-H-TiTa_z,0.4875334354341932
L-F-ThC_x,R-M-CTr_z,-0.4872523988432271
L-M-TaG_x,R-WH_z,0.48713390683407043
R-F-ThC_y,R-H-TaG_z,0.486128596268741
L-M-FeTi_z,R-M-CTr_y,-0.4851425585870568
L-M-TaG_x,R-F-ThC_x,0.484817644267322
L-M-CTr_x,R-M-ThC_y,0.4841223982360903
L-F-FeTi_z,L-M-ThC_y,-0.4825495693137203
R-M-CTr_x,R-M-TaG_x,0.4822827274800794
R-M-TaG_x,R-WH_z,0.48180755053183993
L-M-CTr_z,R-H-CTr_x,-0.48153083390396373
L-F-TaG_z,L-M-CTr_y,-0.4813403692994761
R-F-ThC_x,R-M-TaG_z,0.4812460335556866
L-M-FeTi_x,L-M-TiTa_x,0.48096125455080857
R-M-CTr_z,R-WH_z,-0.4807488247927103
L-M-TiTa_z,R-M-ThC_x,-0.48062479376985806
R-H-TaG_x,R-M-TiTa_y,0.4802420808027479
L-M-ThC_z,R-M-TaG_x,-0.47986065295361263
R-F-CTr_x,R-M-ThC_y,0.47876972006337826
L-M-ThC_x,R-F-FeTi_x,0.47857434070648097
L-H-TaG_x,L-H-TaG_y,-0.47761756468039746
R-F-ThC_z,R-H-CTr_x,0.47735850424301346
L-F-TiTa_x,L-M-ThC_z,-0.4773499425548246
L-H-FeTi_x,L-H-FeTi_z,-0.47724457466132497
L-M-CTr_x,R-F-FeTi_x,0.4771284737131958
R-F-ThC_x,R-F-TiTa_x,0.4766435588559069
L-M-TaG_x,L-M-ThC_x,0.4763199757666163
L-F-CTr_x,R-F-FeTi_x,0.47617834598007364
L-F-TiTa_x,L-M-CTr_x,0.4761208656754981
R-H-CTr_x,R-M-CTr_y,0.4758873601448436
L-H-ThC_z,R-M-CTr_z,-0.4756982810819507
L-M-TaG_z,R-H-CTr_y,-0.47563497842407376
L-F-TiTa_x,R-WH_z,0.4753909960725514
L-H-CTr_x,L-M-TaG_x,0.4753795077866099
L-F-FeTi_z,R-H-ThC_y,-0.475339135994114
R-F-ThC_y,R-F-ThC_z,0.47500744336144823
L-F-ThC_x,R-F-TaG_x,0.4748910596591519
R-M-TaG_z,R-WH_z,0.4743911500303222
R-F-CTr_x,R-H-ThC_y,0.47422126542224224
R-F-FeTi_z,R-F-TiTa_y,-0.4735758499168385
