Variable 1,Variable 2,Correlation,Type
L-H-CTr_x,L-H-ThC_x,0.8760213992978485,XYZ-XYZ
L-M-CTr_x,R-H-ThC_x,0.8751797403317376,XYZ-XYZ
L-M-CTr_x,L-M-ThC_x,0.8742871311677646,XYZ-XYZ
L-F-FeTi_y,L-F-TiTa_y,0.8732222635307002,XYZ-XYZ
L-F-ThC_y,L-M-ThC_y,0.8729032127162882,XYZ-XYZ
L-M-ThC_z,R-M-CTr_x,-0.8718018556370482,XYZ-XYZ
L-H-CTr_x,L-M-ThC_x,0.867695352288815,XYZ-XYZ
L-M-ThC_x,R-M-CTr_x,0.8638628786318487,XYZ-XYZ
L-F-CTr_y,L-F-CTr_z,-0.8633348820182509,XYZ-XYZ
L-H-CTr_x,R-M-CTr_x,0.8627002074394934,XYZ-XYZ
L-M-CTr_x,L-M-ThC_z,-0.8619962095154902,XYZ-XYZ
R-M-TaG_z,R-M-TiTa_z,0.8586523906277674,XYZ-XYZ
L-M-FeTi_z,L-M-TaG_z,0.8581009263325755,XYZ-XYZ
L-H-CTr_x,L-M-ThC_z,-0.8574333263219134,XYZ-XYZ
L-H-ThC_y,L-M-ThC_y,0.8568840326814091,XYZ-XYZ
L-M-CTr_x,L-WH_z,-0.8563479924396061,XYZ-XYZ
L-F-FeTi_x,L-F-TaG_x,0.8529251029132743,XYZ-XYZ
L-H-CTr_x,R-M-ThC_x,0.8509232568673363,XYZ-XYZ
R-H-TaG_z,R-H-TiTa_z,0.8474605768754155,XYZ-XYZ
R-M-FeTi_y,R-M-TaG_y,0.8459048639310176,XYZ-XYZ
L-F-CTr_y,L-F-FeTi_y,0.845002400627133,XYZ-XYZ
L-H-FeTi_x,L-H-FeTi_y,-0.8416953556646196,XYZ-XYZ
L-H-CTr_x,L-M-CTr_x,0.8408247654401965,XYZ-XYZ
L-H-ThC_x,L-WH_z,-0.8381588214710527,XYZ-XYZ
L-H-CTr_x,R-H-ThC_x,0.8330736713897654,XYZ-XYZ
R-M-CTr_y,R-M-ThC_y,0.8330079745095491,XYZ-XYZ
L-M-ThC_x,R-H-ThC_x,0.8327563705613409,XYZ-XYZ
L-M-ThC_x,R-M-ThC_x,0.8315364465476822,XYZ-XYZ
R-F-CTr_x,R-F-TiTa_x,0.8262274542445863,XYZ-XYZ
L-F-ThC_y,L-H-ThC_y,0.8253195877552089,XYZ-XYZ
Notum_x,R-WH_z,-0.8241415759976813,XYZ-XYZ
R-M-FeTi_z,R-M-TaG_z,0.8230121353427255,XYZ-XYZ
L-F-FeTi_y,L-F-TaG_y,0.8187570307030402,XYZ-XYZ
L-M-CTr_y,L-M-ThC_y,0.8131934625649098,XYZ-XYZ
L-WH_z,R-F-ThC_x,-0.8129664567711795,XYZ-XYZ
L-M-ThC_x,Notum_y,-0.8124372426891129,XYZ-XYZ
L-F-CTr_x,L-F-TiTa_x,0.8112858954108004,XYZ-XYZ
L-WH_z,R-M-ThC_x,-0.8112843753588742,XYZ-XYZ
R-H-FeTi_y,R-H-TiTa_y,0.8108343425991008,XYZ-XYZ
R-F-CTr_x,R-F-FeTi_x,0.8100191083889972,XYZ-XYZ
R-F-ThC_y,R-M-ThC_y,0.8095204608170559,XYZ-XYZ
R-F-FeTi_y,R-F-TiTa_y,0.8094143033876777,XYZ-XYZ
R-F-CTr_y,R-F-FeTi_y,0.8084394869615676,XYZ-XYZ
L-F-CTr_y,L-F-TiTa_y,0.8072724688216922,XYZ-XYZ
R-F-CTr_x,R-F-TaG_x,0.804696031102852,XYZ-XYZ
R-F-CTr_y,R-F-CTr_z,-0.7974687805153137,XYZ-XYZ
L-M-ThC_x,R-H-CTr_x,0.7934445429836126,XYZ-XYZ
R-F-ThC_y,R-H-ThC_y,0.7922194427506473,XYZ-XYZ
L-H-FeTi_y,L-H-TiTa_y,0.7906906694747545,XYZ-XYZ
R-F-CTr_y,R-F-TiTa_y,0.7896999762492024,XYZ-XYZ
L-F-CTr_z,L-F-TiTa_y,-0.7895315424810142,XYZ-XYZ
L-F-ThC_x,L-WH_z,-0.7889479770605671,XYZ-XYZ
L-WH_z,R-M-CTr_x,-0.7846581928598187,XYZ-XYZ
L-F-ThC_x,Notum_x,-0.783260839503325,XYZ-XYZ
L-WH_z,R-WH_z,-0.7813563131742084,XYZ-XYZ
L-H-ThC_z,R-M-ThC_z,-0.7808613912029186,XYZ-XYZ
Notum_z,R-F-ThC_y,0.7799015246054576,XYZ-XYZ
R-F-CTr_z,R-F-TiTa_y,-0.7780019973024275,XYZ-XYZ
R-H-ThC_y,R-M-CTr_y,0.7766764013991481,XYZ-XYZ
L-F-CTr_z,L-F-FeTi_y,-0.7717591297694086,XYZ-XYZ
L-F-CTr_x,L-F-TaG_x,0.7686514312773486,XYZ-XYZ
Notum_x,R-F-ThC_x,-0.7665087845753453,XYZ-XYZ
L-F-ThC_y,L-M-CTr_y,0.7644167674832961,XYZ-XYZ
Notum_x,R-M-CTr_x,-0.7643261521560276,XYZ-XYZ
L-F-ThC_x,Notum_y,-0.7638453524068356,XYZ-XYZ
L-M-ThC_z,Notum_x,0.7637969737293578,XYZ-XYZ
L-H-FeTi_x,L-H-TiTa_x,0.7586168359006498,XYZ-XYZ
L-M-ThC_z,R-H-CTr_x,-0.7574958850644193,XYZ-XYZ
Notum_y,R-F-ThC_x,-0.7568138328188545,XYZ-XYZ
L-H-ThC_x,Notum_x,-0.7555551111107167,XYZ-XYZ
L-H-ThC_x,Notum_y,-0.7543319409160936,XYZ-XYZ
L-F-CTr_z,L-F-TaG_y,-0.7541236318810535,XYZ-XYZ
R-H-CTr_y,R-H-CTr_z,-0.7535865507326757,XYZ-XYZ
R-H-CTr_x,R-H-ThC_x,0.7534869647794472,XYZ-XYZ
Notum_y,R-M-CTr_x,-0.750882684094889,XYZ-XYZ
Notum_y,R-M-ThC_x,-0.7497126160525258,XYZ-XYZ
Notum_x,R-M-ThC_x,-0.7487569371014605,XYZ-XYZ
L-F-ThC_z,R-M-ThC_z,-0.7476094746906571,XYZ-XYZ
L-M-ThC_z,Notum_y,0.747372721970942,XYZ-XYZ
Notum_x,R-H-ThC_x,-0.7465237450931855,XYZ-XYZ
L-F-ThC_x,R-H-CTr_x,0.7450567953247359,XYZ-XYZ
L-H-FeTi_y,L-H-TiTa_x,-0.7418191756275386,XYZ-XYZ
L-H-FeTi_z,L-H-TaG_z,0.7394638701434407,XYZ-XYZ
R-F-FeTi_y,R-F-TaG_y,0.7384059146840566,XYZ-XYZ
R-F-CTr_z,R-F-TaG_y,-0.7372799387468508,XYZ-XYZ
R-M-ThC_y,R-WH_z,0.7343551605739872,XYZ-XYZ
L-F-CTr_y,L-F-TaG_y,0.7342958868958549,XYZ-XYZ
R-H-CTr_x,R-WH_z,0.7341967417583439,XYZ-XYZ
L-H-CTr_x,L-WH_z,-0.7308937118210074,XYZ-XYZ
L-F-ThC_x,R-F-CTr_x,0.7301074913703963,XYZ-XYZ
L-WH_z,R-H-ThC_x,-0.7283109941024848,XYZ-XYZ
R-F-ThC_x,R-H-CTr_x,0.7264238806804895,XYZ-XYZ
L-WH_z,Notum_x,0.7248692946904184,XYZ-XYZ
R-H-FeTi_y,R-H-TaG_y,0.7241579792898342,XYZ-XYZ
R-H-FeTi_x,R-H-TiTa_x,0.7227773169613271,XYZ-XYZ
L-M-ThC_z,R-M-ThC_y,-0.7225285480780398,XYZ-XYZ
L-M-ThC_z,L-WH_z,0.722356853575015,XYZ-XYZ
Notum_y,Notum_z,-0.7207062973509809,XYZ-XYZ
R-F-CTr_x,R-F-ThC_x,0.7205715614699265,XYZ-XYZ
R-F-ThC_y,R-M-CTr_y,0.7204021615772013,XYZ-XYZ
L-F-CTr_x,L-F-FeTi_x,0.7195742395938987,XYZ-XYZ
Notum_y,R-F-ThC_y,-0.718061496546742,XYZ-XYZ
L-F-ThC_y,R-F-ThC_y,0.7170227509933965,XYZ-XYZ
L-H-ThC_y,R-H-ThC_y,0.7169833014128879,XYZ-XYZ
R-H-CTr_x,R-M-ThC_x,0.7153713227138315,XYZ-XYZ
Notum_y,R-WH_z,-0.7150797126364007,XYZ-XYZ
L-M-ThC_y,R-WH_x,-0.7128115786062421,XYZ-XYZ
L-H-ThC_x,R-H-CTr_x,0.7127657433357241,XYZ-XYZ
L-M-ThC_x,R-F-CTr_x,0.7126476268885238,XYZ-XYZ
L-H-ThC_x,R-F-CTr_x,0.7123474175305816,XYZ-XYZ
R-F-ThC_y,R-H-CTr_x,0.7113422634561071,XYZ-XYZ
Notum_y,R-H-CTr_x,-0.7112751037232756,XYZ-XYZ
L-H-CTr_x,R-H-CTr_x,0.7109243909133911,XYZ-XYZ
R-H-CTr_x,R-M-CTr_x,0.7093704292529266,XYZ-XYZ
L-M-CTr_x,Notum_x,-0.7082391713727677,XYZ-XYZ
L-H-CTr_x,Notum_x,-0.7082202808730691,XYZ-XYZ
L-H-ThC_y,L-M-CTr_y,0.7075727836447717,XYZ-XYZ
L-H-FeTi_y,L-H-TaG_x,-0.7062709230383589,XYZ-XYZ
R-F-CTr_y,R-F-TaG_y,0.705558640964972,XYZ-XYZ
L-H-CTr_x,Notum_y,-0.7024120659108237,XYZ-XYZ
L-M-ThC_x,R-F-ThC_y,0.7020005540441651,XYZ-XYZ
Notum_x,R-M-ThC_y,-0.7006147573823402,XYZ-XYZ
R-H-CTr_y,R-H-TaG_x,0.7000381278981249,XYZ-XYZ
L-F-ThC_x,R-M-ThC_y,0.6998734345057329,XYZ-XYZ
L-H-CTr_y,L-H-CTr_z,-0.6993025560808731,XYZ-XYZ
L-F-CTr_x,L-F-ThC_x,0.6981198948632129,XYZ-XYZ
Notum_y,R-H-ThC_x,-0.6948738479551235,XYZ-XYZ
L-M-ThC_z,R-F-ThC_y,-0.694086182439423,XYZ-XYZ
Notum_z,R-H-ThC_x,0.6919157149861116,XYZ-XYZ
R-F-CTr_x,R-M-CTr_x,0.6915779986988212,XYZ-XYZ
Notum_z,R-H-CTr_x,0.688956733068696,XYZ-XYZ
R-M-FeTi_x,R-M-TiTa_x,0.6878529438703574,XYZ-XYZ
L-M-ThC_y,L-WH_x,0.6863325241480638,XYZ-XYZ
R-H-FeTi_x,R-H-TaG_x,0.686211906129415,XYZ-XYZ
L-F-CTr_x,L-M-ThC_z,-0.6844284946166754,XYZ-XYZ
L-M-CTr_x,R-F-CTr_x,0.6836247613754417,XYZ-XYZ
R-H-ThC_z,R-M-ThC_z,0.6835748977736574,XYZ-XYZ
L-H-FeTi_y,L-H-TaG_y,0.6831829345595822,XYZ-XYZ
R-F-CTr_x,R-M-ThC_x,0.6830745956512724,XYZ-XYZ
L-H-FeTi_x,L-H-TaG_x,0.6828314307994773,XYZ-XYZ
L-M-CTr_y,L-M-CTr_z,-0.6826362447659928,XYZ-XYZ
R-F-CTr_x,R-WH_z,0.6811055166136484,XYZ-XYZ
L-M-CTr_x,R-H-CTr_x,0.6809888644744476,XYZ-XYZ
L-M-ThC_z,R-F-CTr_x,-0.6800535236685823,XYZ-XYZ
R-H-CTr_y,R-H-TiTa_x,0.6783603805197018,XYZ-XYZ
L-F-CTr_x,L-M-ThC_x,0.6773220280409571,XYZ-XYZ
R-F-CTr_z,R-F-FeTi_y,-0.6772847925395699,XYZ-XYZ
L-M-ThC_y,R-F-ThC_y,0.67673084825543,XYZ-XYZ
L-F-CTr_x,R-F-ThC_x,0.676516434406611,XYZ-XYZ
L-M-ThC_x,L-WH_z,-0.6762387890960008,XYZ-XYZ
L-H-ThC_y,R-WH_x,-0.6750493477268736,XYZ-XYZ
R-H-FeTi_z,R-H-TaG_z,0.6716706929726284,XYZ-XYZ
L-M-ThC_z,Notum_z,-0.6712672220683318,XYZ-XYZ
L-M-ThC_z,R-H-ThC_y,-0.6706998607314797,XYZ-XYZ
R-F-CTr_x,R-H-ThC_x,0.6699656404703109,XYZ-XYZ
L-M-CTr_x,Notum_y,-0.6659264189484512,XYZ-XYZ
L-H-ThC_y,R-F-ThC_y,0.6632551822301344,XYZ-XYZ
L-M-CTr_y,R-F-ThC_y,0.6621420526556578,XYZ-XYZ
L-F-CTr_x,R-WH_z,0.6619145506630697,XYZ-XYZ
L-F-ThC_x,R-F-ThC_y,0.6609781340619938,XYZ-XYZ
L-H-ThC_y,L-WH_x,0.6606040013940953,XYZ-XYZ
L-F-CTr_x,L-H-ThC_x,0.6596552456205382,XYZ-XYZ
L-F-CTr_x,R-H-ThC_x,0.6592557803549687,XYZ-XYZ
R-H-ThC_y,R-WH_z,0.6584965438892139,XYZ-XYZ
L-H-FeTi_x,L-H-TiTa_y,-0.6531235828151496,XYZ-XYZ
L-M-CTr_y,R-M-CTr_y,0.65075385433903,XYZ-XYZ
L-F-CTr_x,L-M-CTr_x,0.6497802474958564,XYZ-XYZ
L-M-ThC_x,Notum_x,-0.6485689816180233,XYZ-XYZ
R-F-ThC_x,R-F-ThC_z,0.6475125579667701,XYZ-XYZ
Notum_z,R-M-ThC_y,0.6473569950763749,XYZ-XYZ
L-F-ThC_y,R-M-CTr_y,0.6469098794778404,XYZ-XYZ
L-H-FeTi_y,L-H-FeTi_z,0.6457812688282465,XYZ-XYZ
L-H-ThC_y,R-M-ThC_y,0.6450990394760892,XYZ-XYZ
L-F-ThC_x,R-F-ThC_z,0.6438814257808326,XYZ-XYZ
L-F-ThC_y,R-H-ThC_y,0.6437894176286557,XYZ-XYZ
L-F-CTr_y,L-F-FeTi_z,-0.6437876742498314,XYZ-XYZ
L-F-ThC_x,R-H-ThC_y,0.6436395012566644,XYZ-XYZ
R-F-ThC_y,R-WH_z,0.6430002188785373,XYZ-XYZ
R-M-CTr_x,R-M-ThC_y,0.6403629198301722,XYZ-XYZ
Notum_y,R-F-CTr_x,-0.6387610028525704,XYZ-XYZ
R-H-ThC_x,R-M-ThC_y,0.6386342435147848,XYZ-XYZ
L-F-CTr_x,R-M-CTr_x,0.6380739583285273,XYZ-XYZ
L-M-ThC_x,R-M-ThC_y,0.6368506649692144,XYZ-XYZ
R-H-CTr_z,R-M-CTr_z,0.6349711864536448,XYZ-XYZ
L-H-CTr_x,R-F-CTr_x,0.6345297490936641,XYZ-XYZ
L-F-CTr_x,R-M-ThC_x,0.6341190132840193,XYZ-XYZ
L-H-CTr_x,R-M-ThC_y,0.6323576537560722,XYZ-XYZ
L-M-TaG_z,R-F-ThC_x,-0.6322177776036829,XYZ-XYZ
R-F-ThC_y,R-H-ThC_x,0.631111780422449,XYZ-XYZ
R-F-ThC_z,R-WH_z,0.6309612295282075,XYZ-XYZ
L-H-ThC_y,R-M-CTr_y,0.6303928852374945,XYZ-XYZ
Notum_x,R-H-ThC_y,-0.6276152232807496,XYZ-XYZ
L-H-ThC_x,R-F-ThC_z,0.6226906573147881,XYZ-XYZ
L-M-ThC_y,R-M-CTr_y,0.6226845602600778,XYZ-XYZ
Notum_z,R-M-ThC_x,0.6220362737724552,XYZ-XYZ
R-M-FeTi_x,R-M-TiTa_z,-0.6196744975116599,XYZ-XYZ
R-F-ThC_x,R-M-ThC_y,0.6144603935918745,XYZ-XYZ
Notum_x,Notum_y,0.6087467710425255,XYZ-XYZ
L-M-CTr_x,R-F-ThC_z,0.6084341960153381,XYZ-XYZ
Notum_y,R-M-ThC_y,-0.6064079928295194,XYZ-XYZ
L-F-FeTi_x,L-F-FeTi_y,0.6063162689066819,XYZ-XYZ
R-H-CTr_y,R-M-CTr_y,0.6047924774482796,XYZ-XYZ
L-F-CTr_y,L-F-TiTa_z,-0.6028633851623253,XYZ-XYZ
R-F-ThC_x,R-F-ThC_y,0.6025886147417694,XYZ-XYZ
L-M-CTr_y,R-H-ThC_y,0.6022493765544145,XYZ-XYZ
L-M-ThC_x,R-F-ThC_z,0.6006731181685014,XYZ-XYZ
Notum_x,R-F-ThC_z,-0.6000705656998632,XYZ-XYZ
L-F-CTr_x,L-H-CTr_x,0.600044157728027,XYZ-XYZ
L-M-TaG_z,R-M-CTr_x,-0.6000178205362553,XYZ-XYZ
L-H-CTr_x,R-F-ThC_z,0.5995785721692752,XYZ-XYZ
L-H-CTr_x,R-F-ThC_y,0.5994032124497658,XYZ-XYZ
R-F-CTr_x,R-H-CTr_x,0.5980814118003039,XYZ-XYZ
L-M-ThC_x,R-H-ThC_y,0.5955528781720301,XYZ-XYZ
Notum_z,R-WH_z,0.5940340209359228,XYZ-XYZ
L-F-CTr_x,R-F-CTr_x,0.592226263320274,XYZ-XYZ
L-M-TaG_z,R-WH_z,-0.5918473285142276,XYZ-XYZ
R-F-ThC_z,R-M-CTr_x,0.5918130608985692,XYZ-XYZ
R-H-CTr_x,R-M-ThC_y,0.5915708372482403,XYZ-XYZ
L-M-ThC_y,R-H-ThC_y,0.5909332390993367,XYZ-XYZ
L-F-CTr_x,R-H-CTr_x,0.5907688182852247,XYZ-XYZ
L-H-ThC_x,L-M-TaG_z,-0.5906781018918217,XYZ-XYZ
Notum_z,R-M-CTr_y,0.5891929558782141,XYZ-XYZ
L-F-CTr_x,R-F-ThC_y,0.5877069529337001,XYZ-XYZ
L-H-CTr_x,R-H-ThC_y,0.5871529067808869,XYZ-XYZ
Notum_z,R-H-ThC_y,0.5867382514493164,XYZ-XYZ
R-F-ThC_z,R-M-ThC_x,0.5866681604221224,XYZ-XYZ
R-H-CTr_x,R-H-ThC_y,0.5864942470183994,XYZ-XYZ
L-M-ThC_z,R-F-ThC_z,-0.5848532667173165,XYZ-XYZ
R-M-ThC_x,R-M-ThC_y,0.5837078173304232,XYZ-XYZ
L-H-CTr_z,L-M-CTr_z,0.5818625746795569,XYZ-XYZ
L-M-TaG_z,R-H-ThC_x,-0.5815326698527397,XYZ-XYZ
L-F-CTr_x,Notum_y,-0.5807171001192944,XYZ-XYZ
Notum_x,R-F-CTr_x,-0.5762065812871875,XYZ-XYZ
L-F-ThC_y,R-M-ThC_y,0.575940720418834,XYZ-XYZ
R-F-ThC_y,R-M-CTr_x,0.5753033047179366,XYZ-XYZ
L-M-TaG_z,L-M-ThC_z,0.5748331706397937,XYZ-XYZ
R-M-FeTi_x,R-M-FeTi_z,-0.5742691445717154,XYZ-XYZ
R-F-ThC_z,R-H-ThC_x,0.5738722668999591,XYZ-XYZ
L-F-ThC_z,L-H-ThC_z,0.573506674595846,XYZ-XYZ
L-F-ThC_x,L-M-TaG_z,-0.5699159790305142,XYZ-XYZ
L-M-TaG_z,R-H-ThC_y,-0.5679785909719641,XYZ-XYZ
R-M-FeTi_x,R-M-TaG_x,0.5674040497094871,XYZ-XYZ
L-F-TaG_z,L-M-ThC_y,-0.5668449798822344,XYZ-XYZ
L-F-TaG_z,R-M-CTr_y,-0.563229687571609,XYZ-XYZ
L-M-CTr_y,R-M-ThC_y,0.5627750757115622,XYZ-XYZ
L-WH_z,R-F-ThC_z,-0.5623844284018855,XYZ-XYZ
L-H-FeTi_x,L-H-TaG_y,-0.5615858481928041,XYZ-XYZ
L-H-ThC_x,R-M-ThC_y,0.5613956853932148,XYZ-XYZ
R-H-ThC_y,R-M-CTr_x,0.5607134845430182,XYZ-XYZ
L-M-CTr_x,L-M-TaG_z,-0.5605453511364841,XYZ-XYZ
L-M-TaG_z,R-M-ThC_y,-0.5600231552005346,XYZ-XYZ
R-H-ThC_x,R-H-ThC_y,0.5598200837311048,XYZ-XYZ
L-M-TaG_z,R-M-ThC_x,-0.5596063645903652,XYZ-XYZ
L-M-ThC_x,Notum_z,0.5593397618963867,XYZ-XYZ
L-WH_z,R-F-CTr_x,-0.559136314306456,XYZ-XYZ
Notum_z,R-F-ThC_x,0.5582635080032704,XYZ-XYZ
R-F-FeTi_y,R-F-FeTi_z,-0.5579434160205836,XYZ-XYZ
L-F-CTr_x,Notum_x,-0.5556324341632795,XYZ-XYZ
L-M-CTr_z,Notum_z,-0.5549334397097675,XYZ-XYZ
L-H-CTr_x,L-M-TaG_z,-0.5545392724142227,XYZ-XYZ
L-F-TaG_z,R-F-ThC_y,-0.5534301339037723,XYZ-XYZ
L-F-ThC_y,L-WH_x,0.5529608462287938,XYZ-XYZ
Notum_z,R-M-CTr_x,0.5529381676988278,XYZ-XYZ
L-F-ThC_y,R-WH_x,-0.552730209016205,XYZ-XYZ
R-F-ThC_x,R-H-ThC_y,0.5515199101071393,XYZ-XYZ
L-M-ThC_y,R-M-ThC_y,0.5494965940828582,XYZ-XYZ
R-F-ThC_y,R-M-ThC_x,0.5435870750672699,XYZ-XYZ
L-F-TaG_z,R-M-ThC_y,-0.5423793721748039,XYZ-XYZ
L-F-ThC_x,Notum_z,0.5419683692157087,XYZ-XYZ
R-F-FeTi_y,R-F-TiTa_z,-0.5418701777258713,XYZ-XYZ
L-M-TaG_z,Notum_x,0.5418656752647215,XYZ-XYZ
L-H-ThC_x,R-F-ThC_y,0.5408418107846861,XYZ-XYZ
L-H-CTr_z,L-H-TaG_z,0.5392881359989354,XYZ-XYZ
L-M-TaG_z,R-M-CTr_y,-0.5391260566414878,XYZ-XYZ
L-F-FeTi_y,L-F-TaG_x,0.537871337556101,XYZ-XYZ
L-F-ThC_x,R-M-TaG_z,0.5370270570307694,XYZ-XYZ
L-F-FeTi_x,L-F-TaG_y,0.5361040372359895,XYZ-XYZ
L-F-ThC_x,R-F-FeTi_x,0.5357244739443566,XYZ-XYZ
L-M-ThC_x,R-M-TaG_x,0.5356052687791854,XYZ-XYZ
L-M-TaG_z,L-M-ThC_x,-0.5353440523327531,XYZ-XYZ
L-M-CTr_y,R-WH_x,-0.5327258183609003,XYZ-XYZ
L-M-CTr_y,Notum_z,0.5324182645061415,XYZ-XYZ
R-F-FeTi_x,R-F-ThC_x,0.5305203696412333,XYZ-XYZ
R-H-CTr_y,R-H-FeTi_x,0.5291793405710774,XYZ-XYZ
L-F-ThC_y,L-M-CTr_z,-0.5286109066983103,XYZ-XYZ
L-F-ThC_y,Notum_z,0.5269282539346314,XYZ-XYZ
L-M-CTr_z,R-F-ThC_y,-0.5265315781932692,XYZ-XYZ
L-F-FeTi_z,R-M-CTr_y,-0.5263245561910986,XYZ-XYZ
L-F-CTr_x,R-H-ThC_y,0.5262804948310078,XYZ-XYZ
