Variable 1,Variable 2,Correlation
Notum_y,R-WH_z,-0.5617668601551281
L-H-CTr_y,L-M-TiTa_y,0.5608919973107499
Notum_x,Notum_y,-0.5607167571200347
L-WH_z,R-F-ThC_y,0.5578940093239327
L-H-ThC_y,R-H-ThC_y,0.5577242809061921
L-M-ThC_x,L-WH_x,0.5573766922141649
L-F-FeTi_x,L-F-FeTi_y,0.5557868309073762
L-F-ThC_y,R-WH_x,0.5545009839164288
L-H-ThC_y,L-M-ThC_y,0.5530707667510123
L-F-CTr_y,L-F-TaG_z,-0.5508434766613667
L-F-CTr_z,L-F-FeTi_z,0.5498256102545669
L-M-TaG_z,R-M-ThC_y,-0.5491471080369519
L-H-ThC_x,R-F-ThC_x,0.5490475139844905
L-F-ThC_y,L-M-CTr_z,-0.5479968664445025
L-M-CTr_x,L-M-ThC_z,-0.5447927056867208
Notum_y,R-WH_x,-0.5430037130964049
L-M-FeTi_x,L-WH_z,-0.5414209393326573
L-F-ThC_y,L-M-FeTi_x,-0.5396694329849504
L-H-CTr_y,L-M-TaG_y,0.5395345710125489
L-M-ThC_y,L-WH_z,0.5384415143251314
L-M-CTr_z,L-WH_x,0.538235190373085
L-WH_x,L-WH_z,-0.5380144806549015
Notum_x,R-WH_x,0.5349191478999631
L-M-FeTi_x,L-M-TiTa_x,0.5346121301417096
R-H-FeTi_x,R-WH_y,0.5324766808933599
L-M-CTr_z,L-M-TiTa_y,-0.5323069659466596
R-F-FeTi_x,R-F-FeTi_y,-0.5296634779771275
R-H-FeTi_y,R-WH_y,0.5289565137433121
L-M-CTr_z,L-M-TaG_y,-0.5280185809920414
L-M-CTr_x,R-M-CTr_x,0.5266592960985489
R-F-FeTi_x,R-F-TaG_y,-0.5256575292550569
L-F-FeTi_y,L-F-TiTa_z,-0.5252091072926206
R-F-FeTi_y,R-F-TiTa_z,-0.5250161354168367
L-M-CTr_z,L-M-FeTi_y,-0.5243137968565339
R-M-FeTi_x,R-M-TiTa_z,-0.5228490425411754
L-F-TiTa_y,L-F-TiTa_z,-0.5227272479373917
L-H-CTr_x,L-WH_z,-0.5222984017076252
L-H-CTr_z,R-H-ThC_y,0.5220438270176613
R-H-ThC_y,R-WH_x,-0.5201779702828684
R-F-CTr_z,R-F-FeTi_z,0.5192532160872371
L-H-CTr_y,L-H-FeTi_y,0.5184825235898494
L-M-FeTi_x,L-WH_x,0.5178063219342208
R-F-TaG_x,R-F-ThC_z,0.5170854493644875
L-F-ThC_x,L-H-CTr_x,0.5163956438125874
L-H-TiTa_z,R-H-CTr_z,0.515634745483132
R-H-CTr_x,R-M-ThC_x,0.5147946020103057
R-F-ThC_y,R-M-ThC_z,-0.5146773914321208
R-F-ThC_x,R-H-CTr_x,0.5145076786342477
L-H-ThC_y,Notum_z,-0.5139308970571804
L-WH_z,R-WH_x,0.5128976389981894
L-H-CTr_y,L-H-FeTi_x,-0.5125582102392235
R-M-FeTi_x,R-M-TaG_z,-0.5121754692337662
R-H-FeTi_y,R-H-TaG_z,0.5118905715694988
R-H-CTr_x,R-H-TiTa_x,0.5109533291056125
R-F-FeTi_y,R-F-FeTi_z,-0.5105876023574775
L-M-ThC_x,R-WH_x,-0.5095992628323979
L-M-FeTi_x,L-M-ThC_x,0.5073243871960933
R-H-FeTi_z,R-H-TaG_y,0.5070708344916585
L-H-ThC_z,R-F-ThC_y,0.5062286834876629
L-H-CTr_y,L-H-CTr_z,-0.5048272813260715
L-M-CTr_z,R-H-ThC_y,0.5046268939111439
L-F-ThC_y,R-WH_z,0.5028692338284089
L-H-CTr_x,L-M-CTr_x,0.5028615454043622
R-H-CTr_x,R-H-ThC_z,0.5021428814289637
R-H-TiTa_y,R-H-TiTa_z,0.5019444416331901
R-F-CTr_z,R-F-TaG_z,0.5017695875867467
L-F-ThC_y,R-M-ThC_y,0.5012282984507592
R-F-FeTi_x,R-F-ThC_z,0.5010562948751133
R-F-FeTi_x,R-F-TiTa_y,-0.5007304810830631
L-H-CTr_x,R-M-ThC_x,0.5002973443200927
L-H-TaG_z,L-M-CTr_z,0.5000076326479569
L-F-ThC_x,R-H-ThC_x,0.4994959825761356
L-H-TaG_z,R-H-TaG_z,0.4984158755531736
L-M-FeTi_x,L-M-TaG_z,0.49787324921688536
L-M-ThC_x,R-H-ThC_z,0.4972474489133576
L-H-TaG_y,L-H-TiTa_x,-0.49630745043825997
L-H-ThC_x,R-WH_z,0.49615211808121534
R-F-ThC_y,R-WH_z,0.49458992038839344
L-M-FeTi_x,Notum_x,-0.49299500857900297
L-M-FeTi_x,Notum_y,0.49215929293339317
R-H-TaG_z,R-H-ThC_y,0.49147442677896636
R-F-ThC_z,R-F-TiTa_x,0.4902562239541286
L-H-FeTi_x,L-M-CTr_z,0.4897773053533312
L-M-FeTi_x,L-M-TaG_x,0.48855901853508615
L-H-CTr_y,L-H-TiTa_z,-0.4884280592704992
R-H-CTr_z,R-H-TaG_z,0.4882196308663803
L-M-CTr_z,R-WH_z,-0.48748905658249264
R-M-CTr_z,R-M-TiTa_y,-0.48696406898792693
L-F-CTr_z,L-F-TaG_z,0.48582063797665725
L-M-CTr_z,R-WH_x,-0.4856411142551778
L-H-ThC_y,L-M-CTr_y,0.485540311384173
R-H-FeTi_x,R-H-ThC_z,0.48477600821720584
L-M-FeTi_x,L-M-TiTa_z,0.48474793514006687
L-H-ThC_z,R-F-ThC_z,0.48463048055329006
R-H-CTr_x,R-M-CTr_x,0.48439807391945955
R-H-CTr_z,R-H-ThC_y,0.48407194241408025
R-H-TaG_x,R-H-TaG_y,0.4835476220141133
R-M-CTr_y,R-M-TiTa_y,0.48202071302260047
R-F-TaG_x,R-F-TaG_y,-0.48191775880480603
L-M-TaG_z,R-F-ThC_y,-0.4817445513717187
Notum_x,Notum_z,0.48045370782531677
R-F-FeTi_y,R-F-TaG_z,-0.47990120133654385
L-M-FeTi_x,R-WH_x,-0.4798292119340773
R-F-CTr_x,R-F-ThC_x,0.47922222660767205
R-M-CTr_y,R-M-FeTi_y,0.47833094969761203
R-F-FeTi_y,R-F-TaG_x,-0.4759428289297741
L-H-CTr_z,R-H-TaG_z,0.4750427050454973
R-F-ThC_z,R-M-ThC_y,0.47443636874309125
L-M-ThC_x,R-H-CTr_x,0.4743811557217903
L-F-ThC_y,L-H-ThC_z,0.4743810497304834
L-H-FeTi_y,L-H-TaG_x,-0.47398163235829366
L-F-ThC_x,L-M-ThC_z,-0.47348467134532096
R-H-FeTi_x,R-H-FeTi_z,0.47325828908251494
L-WH_x,Notum_x,-0.47211483047255526
L-F-FeTi_y,L-F-TaG_z,-0.4719419586823225
R-F-CTr_y,R-F-TaG_z,-0.46974990488927987
R-M-CTr_z,R-M-TaG_y,-0.46916734354820444
R-F-TiTa_y,R-F-TiTa_z,-0.46910424549220636
Notum_z,R-M-CTr_z,-0.46900676066101055
R-F-FeTi_z,R-F-TiTa_y,-0.4689040572059585
L-F-ThC_x,Notum_x,-0.46707868395101454
R-H-CTr_x,R-H-ThC_x,0.4657905456182607
R-F-CTr_x,R-M-CTr_x,0.46495497573281436
L-M-TiTa_x,L-M-TiTa_z,0.4647751881350797
Notum_x,R-F-ThC_y,0.46407525046111725
L-M-TaG_z,Notum_y,0.4626316560273319
L-M-CTr_x,R-F-ThC_x,0.4621848146148455
L-M-CTr_z,Notum_x,-0.4615788402521033
L-M-FeTi_z,L-M-ThC_z,0.4613367046960052
L-H-CTr_z,L-H-TaG_x,0.45924467523822277
R-H-CTr_y,R-H-TaG_x,0.4586752967683011
L-H-TaG_x,L-M-FeTi_y,-0.4576015084784616
L-H-ThC_x,R-F-ThC_y,0.45688152797491577
L-H-CTr_x,L-WH_x,0.4568189299582231
L-M-FeTi_x,Notum_z,-0.4566044635058522
L-M-CTr_z,L-WH_z,-0.45656833150234083
L-M-ThC_z,R-M-CTr_x,-0.4552453978021806
L-H-CTr_x,R-WH_x,-0.45402398048172615
L-F-ThC_x,R-F-CTr_x,0.45385856838794236
R-H-TaG_z,R-WH_y,0.45369210458109527
L-F-ThC_x,R-H-CTr_x,0.4534961865730329
L-H-CTr_y,L-H-TaG_z,-0.453397729376282
R-M-CTr_z,R-M-FeTi_y,-0.4533455646672407
L-H-CTr_x,Notum_x,-0.45211542356967116
L-M-ThC_x,L-M-ThC_z,-0.4520134108134115
R-H-TaG_y,R-H-TiTa_x,0.45102238295788616
L-H-ThC_x,L-H-ThC_z,0.4504714226712514
R-M-FeTi_x,R-M-FeTi_z,-0.4498999611418893
L-F-FeTi_z,L-F-TaG_y,-0.4484105256807067
L-H-TaG_x,L-M-TaG_y,-0.44767435536524497
R-H-ThC_y,R-H-TiTa_z,0.44664452912725494
R-M-CTr_z,R-WH_z,-0.4448471544097041
R-H-CTr_x,R-H-TaG_x,0.44356433656293
L-H-CTr_z,L-H-TiTa_x,0.44314033996094493
L-WH_z,R-H-ThC_z,-0.44313105980248274
L-H-CTr_z,L-H-FeTi_x,0.44251084840144944
R-F-TaG_x,R-F-TiTa_y,-0.44249712077432063
R-H-ThC_y,R-WH_y,0.441680831612603
R-H-TiTa_y,R-WH_y,0.4400438357559235
R-H-CTr_z,R-H-TiTa_z,0.43981157180990427
L-H-TaG_z,R-F-ThC_y,-0.43820336969121476
R-H-CTr_y,R-H-TiTa_x,0.4374911806236508
L-WH_x,R-M-CTr_y,0.43682015643717975
L-M-ThC_z,L-M-TiTa_z,0.4366457871070619
L-H-CTr_z,Notum_y,0.4358857641615909
Notum_y,R-H-ThC_y,0.435593754521115
L-F-ThC_x,L-WH_z,-0.4352743473408468
R-M-TiTa_x,R-M-TiTa_z,-0.4347299522466852
L-H-CTr_z,Notum_z,-0.43456861610795006
L-M-TiTa_z,R-M-ThC_y,-0.43401584731448467
L-H-CTr_x,R-M-CTr_x,0.43274592122115785
R-H-CTr_z,R-M-CTr_z,0.43233601839153785
L-H-TiTa_z,R-H-TaG_z,0.43211045563426903
L-H-ThC_z,L-M-TaG_z,-0.43208701688434414
L-H-ThC_z,Notum_y,-0.4320632165904217
R-H-TaG_x,R-H-TiTa_y,0.4314758165118229
L-M-CTr_x,L-M-FeTi_x,0.43135207828012617
L-M-ThC_z,R-F-ThC_y,-0.4311345500332869
L-H-TaG_x,L-M-TiTa_y,-0.430784037727967
R-H-TiTa_x,R-H-TiTa_y,0.43028645916448005
R-F-FeTi_x,R-F-ThC_y,0.4302652630361033
L-M-CTr_x,R-H-ThC_z,0.42974412038906457
R-F-CTr_x,R-F-ThC_z,0.4286211168386269
R-M-FeTi_z,R-M-TiTa_x,-0.4282089791764353
R-H-CTr_z,R-WH_y,0.42816106270494275
L-H-TaG_z,R-H-TiTa_z,0.42808890963617646
R-M-FeTi_x,R-M-FeTi_y,0.42741368626797804
L-F-FeTi_x,L-H-CTr_y,0.4270287364169638
L-F-FeTi_y,L-M-CTr_y,0.42486483343802156
Notum_x,R-M-ThC_y,0.42454019801847354
L-F-CTr_x,L-F-ThC_x,0.4245369940657888
R-M-CTr_y,R-M-TaG_y,0.42410216841764464
L-WH_x,R-M-CTr_z,0.4239070748286481
L-F-ThC_x,L-WH_x,0.42390229665680323
R-H-CTr_x,R-WH_y,0.4235458496299442
L-F-ThC_x,R-M-CTr_y,0.42329862379299826
R-M-CTr_z,R-WH_x,-0.42272966346516694
L-M-CTr_x,R-H-CTr_x,0.4219429990368662
L-H-TiTa_x,L-M-FeTi_y,-0.42075177169065464
L-H-CTr_z,R-F-ThC_y,-0.4202253257612725
L-M-FeTi_z,R-M-ThC_y,-0.4198141645865484
L-H-TaG_z,R-M-TaG_x,-0.4196555077163132
L-F-FeTi_x,L-M-FeTi_y,0.41964490099913704
L-H-FeTi_y,L-H-TiTa_x,-0.4183587985971995
L-H-TaG_z,L-M-FeTi_y,-0.41833031538080206
L-M-ThC_z,R-M-ThC_z,0.4174402657270184
L-M-CTr_z,R-H-CTr_z,0.41622963189219714
L-H-CTr_x,R-H-ThC_x,0.4161911368830293
R-H-FeTi_x,R-H-TiTa_z,0.4158738824821636
L-F-CTr_x,R-M-CTr_x,0.41546095169798364
L-H-ThC_x,R-M-ThC_x,0.41544107678525155
R-M-FeTi_y,R-M-TaG_x,0.4152259182578964
L-M-CTr_y,R-M-ThC_z,-0.41520902660959746
R-M-FeTi_x,R-M-TaG_y,0.41275847717271424
R-F-TaG_x,R-F-ThC_y,0.4120673527469224
R-F-ThC_x,R-F-ThC_y,0.41100463977347557
Notum_x,R-M-ThC_x,-0.41089355669037875
L-H-TiTa_x,L-H-TiTa_z,0.4101021825911469
R-F-FeTi_y,R-F-TiTa_x,-0.4099983336648166
L-H-TaG_x,L-H-TiTa_y,-0.40963962598897835
L-F-ThC_x,R-WH_x,-0.40959385214598343
L-M-TaG_y,R-H-TiTa_z,-0.4092104971373348
L-M-ThC_z,Notum_y,0.40890247651406
L-H-TaG_x,L-M-CTr_y,-0.4084371018265359
L-F-FeTi_x,L-M-CTr_y,0.4077386252245741
Notum_y,R-M-CTr_z,0.4077125269594772
L-H-TiTa_z,L-M-CTr_z,0.4073998411155212
L-M-FeTi_y,R-H-TiTa_z,-0.4073463309902789
R-F-FeTi_z,R-F-TaG_y,-0.4068264185142193
L-H-TiTa_z,R-H-TiTa_z,0.40677446196873945
L-H-TiTa_x,L-M-TaG_y,-0.4062355414060306
R-F-TaG_y,R-F-TiTa_z,-0.4059907433187507
L-H-TaG_z,L-H-TiTa_x,0.40588509087617775
L-H-TaG_y,L-M-TiTa_y,0.4043158385976509
R-H-CTr_y,R-M-CTr_y,0.4040395178604469
R-H-ThC_z,R-H-TiTa_x,0.4040010170170397
L-M-CTr_z,R-H-TaG_z,0.40335434543936
L-M-FeTi_y,R-H-FeTi_y,-0.40323289438900084
L-H-ThC_x,Notum_y,-0.4028370197849087
L-H-TiTa_z,R-F-ThC_y,-0.40198494410060526
L-M-TiTa_y,R-H-TiTa_z,-0.40172862658463715
L-H-CTr_z,R-H-TiTa_z,0.40091482790452604
L-H-TaG_y,L-M-TaG_y,0.40039651716255803
R-M-TaG_x,R-M-TaG_y,0.4001285774559893
R-H-TaG_y,R-H-TiTa_z,0.39944352871205413
R-H-TaG_z,R-H-ThC_z,0.39922461154728534
R-F-TaG_y,R-F-TiTa_x,-0.39916924423130606
R-H-CTr_y,R-H-FeTi_y,0.39824114294847435
L-H-ThC_x,R-M-CTr_x,0.39821801724136263
L-H-TaG_x,R-H-FeTi_y,0.3978839864201929
L-F-FeTi_y,L-F-TiTa_x,0.39783284449681033
L-M-TaG_y,R-H-FeTi_y,-0.39681634851021275
R-H-FeTi_y,R-H-ThC_z,0.3966427303428439
L-F-CTr_x,R-F-CTr_x,0.39545953078398427
L-M-ThC_x,R-M-CTr_y,0.3948763322496261
L-H-ThC_z,R-M-ThC_z,-0.39467540716907706
L-F-TaG_y,L-F-TiTa_z,-0.3923270061227693
L-M-CTr_y,R-WH_x,-0.3921673788036001
L-H-TaG_z,R-F-ThC_z,-0.39196589854901737
L-F-FeTi_y,L-F-TaG_x,0.39144980431605897
L-WH_z,R-H-ThC_x,-0.39063244358759225
L-H-TaG_y,L-M-FeTi_y,0.3896876917323798
L-F-FeTi_y,L-M-FeTi_y,0.3895495701634619
L-H-CTr_x,R-F-ThC_x,0.38860669060240394
L-F-ThC_y,L-M-ThC_x,-0.3884374102540672
L-F-CTr_y,L-M-CTr_y,0.38815827737324415
R-F-ThC_y,R-F-TiTa_x,0.38810023274121924
L-H-ThC_z,L-M-CTr_z,-0.3878876519079441
R-H-FeTi_y,R-H-ThC_y,0.3878712731413291
L-H-TiTa_x,L-M-TiTa_y,-0.3876672151902062
L-H-ThC_z,L-M-ThC_z,-0.3875827148288112
L-M-TaG_y,R-H-TaG_z,-0.38676379221370033
L-M-CTr_z,L-M-TaG_z,0.38646587449160924
R-H-TiTa_x,R-WH_y,0.3862446880060091
L-H-CTr_z,L-M-FeTi_y,-0.3854356547873443
L-F-ThC_y,R-M-ThC_z,-0.385165751316502
Notum_z,R-F-ThC_x,0.384499779281131
L-F-FeTi_z,L-M-CTr_y,-0.38442398270840655
L-F-FeTi_x,L-M-TiTa_y,0.3843521222192813
L-M-TiTa_y,R-H-FeTi_y,-0.3836754072083243
L-F-FeTi_y,L-M-TiTa_y,0.3827553904023363
L-H-TiTa_z,R-M-TaG_x,-0.3826906152368594
L-M-FeTi_y,R-H-TaG_z,-0.38264814830858757
Notum_y,R-F-ThC_z,-0.3825605188570235
R-H-ThC_y,R-M-CTr_y,0.3825157510734765
L-H-CTr_x,L-H-TiTa_x,0.38242808524643407
L-M-FeTi_x,R-H-ThC_z,0.381721319852613
L-H-TaG_z,Notum_y,0.381550887199528
L-H-TiTa_z,L-M-FeTi_y,-0.3810681096817778
L-H-ThC_y,R-M-CTr_y,0.38083684499218673
R-M-CTr_y,R-M-CTr_z,-0.3802909727358253
L-F-FeTi_y,L-M-CTr_z,-0.3793643785778418
L-F-FeTi_y,L-M-TaG_y,0.3778099860408728
L-H-TaG_z,L-M-TaG_y,-0.37768567815119497
L-H-TiTa_x,R-H-FeTi_y,0.377407915030862
L-M-FeTi_x,R-F-ThC_y,-0.37706581084154794
R-M-FeTi_x,R-M-TiTa_y,0.37704177722697896
L-H-CTr_z,L-H-FeTi_z,0.37698507439616435
L-F-CTr_x,L-H-CTr_y,0.3767900080830399
L-F-TaG_y,L-M-TaG_y,0.3767042543382325
R-F-TaG_z,R-F-TiTa_y,-0.37650899921744185
L-F-ThC_y,L-M-ThC_y,0.37577992635563423
L-F-ThC_y,R-H-ThC_z,-0.37510300313152795
L-F-FeTi_x,L-M-TaG_y,0.37508985486499397
R-M-CTr_y,R-WH_x,-0.37417407359256416
L-H-TaG_z,R-M-TiTa_x,-0.37401038496597916
L-F-ThC_y,R-M-CTr_z,-0.3739352106814162
L-H-TaG_z,L-M-TiTa_y,-0.372917062084001
Notum_y,R-H-CTr_z,0.37274307242412585
L-F-CTr_x,L-M-FeTi_y,0.3727278927798484
